010 t1 t6 .	000
101 t1 t6 .	011
111 t1 t6 .	110
011 t1 t6 .	101
100 t1 t6 .	111
110 t1 t6 .	100
111 t3 t3 .	001
001 t3 t3 .	000
100 t3 t3 .	100
010 t3 t3 .	010
110 t3 t3 .	101
000 t3 t3 .	110
110 t6 t4 .	100
111 t6 t4 .	111
101 t6 t4 .	000
001 t6 t4 .	010
100 t6 t4 .	110
010 t6 t4 .	001
100 t6 t2 .	000
111 t6 t2 .	110
110 t6 t2 .	001
011 t6 t2 .	100
101 t6 t2 .	101
000 t6 t2 .	111
000 t5 t6 .	010
110 t5 t6 .	111
010 t5 t6 .	001
111 t5 t6 .	100
100 t5 t6 .	000
001 t5 t6 .	011
000 t6 t3 .	100
101 t6 t3 .	111
110 t6 t3 .	101
001 t6 t3 .	010
011 t6 t3 .	110
111 t6 t3 .	011
010 t3 t5 .	110
110 t3 t5 .	000
100 t3 t5 .	100
111 t3 t5 .	011
101 t3 t5 .	001
011 t3 t5 .	101
010 t5 t3 .	001
001 t5 t3 .	111
111 t5 t3 .	110
100 t5 t3 .	000
000 t5 t3 .	101
101 t5 t3 .	010
001 t1 t6 .	010
000 t1 t6 .	001
101 t3 t3 .	111
011 t3 t3 .	011
000 t6 t4 .	101
011 t6 t4 .	011
010 t6 t2 .	011
001 t6 t2 .	010
011 t5 t6 .	110
101 t5 t6 .	101
100 t6 t3 .	001
010 t6 t3 .	000
001 t3 t5 .	010
000 t3 t5 .	111
011 t5 t3 .	011
110 t5 t3 .	100
